Date : 2023-04-30 01:50:49
Directory : /Users/turco/WebDev/coderhouse-backend-course
Total : 409 files,  756316 codes, 2606 comments, 4884 blanks, all 763806 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/inputForm.hbs                        | Handlebars |         25 |          0 |          0 |         25 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/layouts/main.hbs                     | Handlebars |         13 |          0 |          0 |         13 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/login.hbs                            | Handlebars |          5 |          0 |          0 |          5 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/logout.hbs                           | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/routes/router1.js                                 | JavaScript |         41 |          0 |          6 |         47 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/config/firestoreConfig.js                         | JavaScript |         12 |          0 |          4 |         16 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/desafioClase26.js                                 | JavaScript |         96 |          0 |         29 |        125 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/lib/pasport.lib.js                                | JavaScript |         41 |          0 |         11 |         52 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/models/user.model.js                              | JavaScript |          6 |          0 |          2 |          8 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/persistance.js                                    | JavaScript |         25 |          1 |          9 |         35 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/client.socket.js                           | JavaScript |         56 |          0 |         19 |         75 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/fakeProds.hbs                        | Handlebars |         15 |          0 |          0 |         15 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/inputForm.hbs                        | Handlebars |         25 |          0 |          0 |         25 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/layouts/main.hbs                     | Handlebars |         13 |          0 |          0 |         13 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/login.hbs                            | Handlebars |         11 |          0 |          0 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/loginError.hbs                       | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/logout.hbs                           | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/register.hbs                         | Handlebars |         11 |          0 |          0 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/registerError.hbs                    | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/routes/router1.js                                 | JavaScript |         59 |          0 |         12 |         71 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/.env                                              | Properties |          3 |          0 |          0 |          3 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/child.js                                          | JavaScript |         16 |          0 |          5 |         21 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/config/firestoreConfig.js                         | JavaScript |         14 |          0 |          5 |         19 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/desafioClase28.js                                 | JavaScript |        111 |          0 |         34 |        145 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/lib/pasport.lib.js                                | JavaScript |         41 |          0 |         11 |         52 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/models/user.model.js                              | JavaScript |          6 |          0 |          2 |          8 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/persistance.js                                    | JavaScript |         25 |          1 |          9 |         35 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/client.socket.js                           | JavaScript |         56 |          0 |         19 |         75 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/fakeProds.hbs                        | Handlebars |         15 |          0 |          0 |         15 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/info.hbs                             | Handlebars |          9 |          0 |          0 |          9 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/inputForm.hbs                        | Handlebars |         25 |          0 |          0 |         25 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/layouts/main.hbs                     | Handlebars |         13 |          0 |          0 |         13 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/login.hbs                            | Handlebars |         11 |          0 |          0 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/loginError.hbs                       | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/logout.hbs                           | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/register.hbs                         | Handlebars |         11 |          0 |          0 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/registerError.hbs                    | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/routes/router1.js                                 | JavaScript |         69 |          0 |         13 |         82 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/routes/routerChild.js                             | JavaScript |         14 |          0 |          4 |         18 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/.env                                              | Properties |          3 |          0 |          0 |          3 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/config/firestoreConfig.js                         | JavaScript |         14 |          0 |          5 |         19 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/desafioClase30.js                                 | JavaScript |        132 |          0 |         41 |        173 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/lib/pasport.lib.js                                | JavaScript |         41 |          0 |         11 |         52 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/models/user.model.js                              | JavaScript |          6 |          0 |          2 |          8 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/nginx.conf                                        | Properties |         39 |          2 |         15 |         56 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/persistance.js                                    | JavaScript |         25 |          1 |          9 |         35 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/client.socket.js                           | JavaScript |         56 |          0 |         19 |         75 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/fakeProds.hbs                        | Handlebars |         15 |          0 |          0 |         15 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/info.hbs                             | Handlebars |         10 |          0 |          0 |         10 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/inputForm.hbs                        | Handlebars |         25 |          0 |          0 |         25 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/layouts/main.hbs                     | Handlebars |         13 |          0 |          0 |         13 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/login.hbs                            | Handlebars |         11 |          0 |          0 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/loginError.hbs                       | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/logout.hbs                           | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/register.hbs                         | Handlebars |         11 |          0 |          0 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/registerError.hbs                    | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/routes/router1.js                                 | JavaScript |         71 |          0 |         13 |         84 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/routes/routerChild.js                             | JavaScript |         14 |          0 |          4 |         18 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/serverAPIRandom.js                                | JavaScript |         51 |          0 |         16 |         67 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/.env                                              | Properties |          3 |          0 |          0 |          3 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/7651.0x/flamegraph.html                           | HTML       |     11,993 |          0 |      1,943 |     13,936 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/7651.0x/isolate-0x130040000-7651-7651-v8.log      | Log        |     47,669 |          0 |          1 |     47,670 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/7651.0x/isolate-0x130040000-7651-7651-v8.log.json | JSON       |    660,289 |          0 |          1 |    660,290 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/7651.0x/meta.json                                 | JSON       |          1 |          0 |          0 |          1 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/benchmark.js                                      | JavaScript |         17 |          0 |          7 |         24 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/config/firestoreConfig.js                         | JavaScript |         14 |          0 |          5 |         19 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/desafioClase32.js                                 | JavaScript |        132 |          0 |         41 |        173 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/error.log                                         | Log        |          0 |          0 |          1 |          1 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/lib/log4js.js                                     | JavaScript |         28 |          0 |          5 |         33 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/lib/pasport.lib.js                                | JavaScript |         41 |          0 |         11 |         52 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/models/user.model.js                              | JavaScript |          6 |          0 |          2 |          8 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/persistance.js                                    | JavaScript |         25 |          1 |          9 |         35 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/client.socket.js                           | JavaScript |         56 |          0 |         19 |         75 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/fakeProds.hbs                        | Handlebars |         15 |          0 |          0 |         15 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/info.hbs                             | Handlebars |         10 |          0 |          0 |         10 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/inputForm.hbs                        | Handlebars |         25 |          0 |          0 |         25 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/layouts/main.hbs                     | Handlebars |         13 |          0 |          0 |         13 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/login.hbs                            | Handlebars |         11 |          0 |          0 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/loginError.hbs                       | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/logout.hbs                           | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/register.hbs                         | Handlebars |         11 |          0 |          0 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/registerError.hbs                    | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/routes/router1.js                                 | JavaScript |         94 |          0 |         14 |        108 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/routes/routerChild.js                             | JavaScript |         14 |          0 |          4 |         18 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/serverAPIRandom.js                                | JavaScript |         51 |          0 |         16 |         67 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/warn.log                                          | Log        |          1 |          0 |          1 |          2 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/yesLog.log                                        | Log        |     24,461 |          0 |          1 |     24,462 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/.env                                              | Properties |          3 |          0 |          0 |          3 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/benchmark.js                                      | JavaScript |         17 |          0 |          7 |         24 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/config/firestoreConfig.js                         | JavaScript |         14 |          0 |          5 |         19 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/desafioClase34.js                                 | JavaScript |        132 |          0 |         41 |        173 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/error.log                                         | Log        |          0 |          0 |          1 |          1 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/lib/log4js.js                                     | JavaScript |         28 |          0 |          5 |         33 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/lib/pasport.lib.js                                | JavaScript |         41 |          0 |         11 |         52 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/models/user.model.js                              | JavaScript |          6 |          0 |          2 |          8 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/persistance.js                                    | JavaScript |         25 |          1 |          9 |         35 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/public/client.socket.js                           | JavaScript |         56 |          0 |         19 |         75 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/public/views/fakeProds.hbs                        | Handlebars |         15 |          0 |          0 |         15 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/public/views/info.hbs                             | Handlebars |         10 |          0 |          0 |         10 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/public/views/inputForm.hbs                        | Handlebars |         25 |          0 |          0 |         25 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/public/views/layouts/main.hbs                     | Handlebars |         13 |          0 |          0 |         13 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/public/views/login.hbs                            | Handlebars |         11 |          0 |          0 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/public/views/loginError.hbs                       | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/public/views/logout.hbs                           | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/public/views/register.hbs                         | Handlebars |         11 |          0 |          0 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/public/views/registerError.hbs                    | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/routes/router1.js                                 | JavaScript |         94 |          0 |         14 |        108 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/routes/routerChild.js                             | JavaScript |         14 |          0 |          4 |         18 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/serverAPIRandom.js                                | JavaScript |         51 |          0 |         16 |         67 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/warn.log                                          | Log        |          0 |          0 |          1 |          1 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/.env                                              | Properties |          3 |          0 |          0 |          3 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/benchmark.js                                      | JavaScript |         17 |          0 |          7 |         24 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/config/firestoreConfig.js                         | JavaScript |         14 |          0 |          5 |         19 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/desafioClase36.js                                 | JavaScript |        132 |          0 |         40 |        172 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/error.log                                         | Log        |         23 |          0 |          1 |         24 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/lib/log4js.js                                     | JavaScript |         28 |          0 |          5 |         33 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/lib/pasport.lib.js                                | JavaScript |         51 |          0 |         14 |         65 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/lib/populate-store.js                             | JavaScript |         21 |          1 |          7 |         29 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/models/user.model.js                              | JavaScript |         23 |          0 |          4 |         27 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/persistance.js                                    | JavaScript |         25 |          1 |          9 |         35 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/public/client.socket.js                           | JavaScript |         56 |          0 |         19 |         75 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/public/views/cart.hbs                             | Handlebars |         18 |          0 |          0 |         18 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/public/views/fakeProds.hbs                        | Handlebars |         15 |          0 |          0 |         15 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/public/views/info.hbs                             | Handlebars |         10 |          0 |          0 |         10 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/public/views/inputForm.hbs                        | Handlebars |         47 |          0 |          1 |         48 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/public/views/layouts/main.hbs                     | Handlebars |         13 |          0 |          0 |         13 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/public/views/login.hbs                            | Handlebars |         11 |          0 |          0 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/public/views/loginError.hbs                       | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/public/views/logout.hbs                           | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/public/views/register.hbs                         | Handlebars |         21 |          8 |          0 |         29 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/public/views/registerError.hbs                    | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/routes/router1.js                                 | JavaScript |        214 |          0 |         33 |        247 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/routes/routerChild.js                             | JavaScript |         14 |          0 |          4 |         18 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/serverAPIRandom.js                                | JavaScript |         51 |          0 |         16 |         67 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 36/warn.log                                          | Log        |         75 |          0 |          1 |         76 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/.env                                              | Properties |          3 |          0 |          0 |          3 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/config/firestoreConfig.js                         | JavaScript |         14 |          0 |          5 |         19 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/controllers/controller.js                         | JavaScript |        112 |          0 |         23 |        135 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/desafioClase38.js                                 | JavaScript |        132 |          0 |         40 |        172 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/error.log                                         | Log        |         24 |          0 |          1 |         25 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/lib/log4js.js                                     | JavaScript |         28 |          0 |          5 |         33 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/lib/pasport.lib.js                                | JavaScript |         51 |          0 |         14 |         65 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/lib/populate-store.js                             | JavaScript |         21 |          1 |          7 |         29 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/models/user.model.js                              | JavaScript |         23 |          0 |          4 |         27 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/persistance/persistance_chat.js                   | JavaScript |         25 |          1 |          9 |         35 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/persistance/persistance_ecom.js                   | JavaScript |         31 |          0 |          9 |         40 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/public/client.socket.js                           | JavaScript |         56 |          0 |         19 |         75 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/public/views/cart.hbs                             | Handlebars |         18 |          0 |          0 |         18 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/public/views/fakeProds.hbs                        | Handlebars |         15 |          0 |          0 |         15 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/public/views/info.hbs                             | Handlebars |         10 |          0 |          0 |         10 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/public/views/inputForm.hbs                        | Handlebars |         47 |          0 |          1 |         48 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/public/views/layouts/main.hbs                     | Handlebars |         13 |          0 |          0 |         13 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/public/views/login.hbs                            | Handlebars |         11 |          0 |          0 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/public/views/loginError.hbs                       | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/public/views/logout.hbs                           | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/public/views/register.hbs                         | Handlebars |         21 |          8 |          0 |         29 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/public/views/registerError.hbs                    | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/routes/router1.js                                 | JavaScript |         24 |          0 |         14 |         38 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/routes/routerChild.js                             | JavaScript |         14 |          0 |          4 |         18 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/serverAPIRandom.js                                | JavaScript |         51 |          0 |         16 |         67 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/services/services.js                              | JavaScript |         50 |          0 |         10 |         60 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 38/warn.log                                          | Log        |         76 |          0 |          1 |         77 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 4/desafioClase4.js                                   | JavaScript |         89 |         20 |         24 |        133 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/.env                                              | Properties |          3 |          0 |          0 |          3 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/config/firestoreConfig.js                         | JavaScript |         14 |          0 |          5 |         19 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/config/mongoConfig.js                             | JavaScript |         26 |          0 |          5 |         31 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/controllers/controller.js                         | JavaScript |        116 |          0 |         23 |        139 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/desafioClase40.js                                 | JavaScript |        132 |          0 |         40 |        172 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/error.log                                         | Log        |         24 |          0 |          1 |         25 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/lib/log4js.js                                     | JavaScript |         28 |          0 |          5 |         33 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/lib/pasport.lib.js                                | JavaScript |         51 |          0 |         14 |         65 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/lib/populate-store.js                             | JavaScript |         21 |          1 |          7 |         29 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/models/user.model.js                              | JavaScript |         23 |          0 |          4 |         27 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/persistance/factory_ecom.js                       | JavaScript |         12 |          0 |          1 |         13 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/persistance/persistance_chat.js                   | JavaScript |         25 |          1 |          9 |         35 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/persistance/persistance_ecom.js                   | JavaScript |         65 |          0 |         15 |         80 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/public/client.socket.js                           | JavaScript |         56 |          0 |         19 |         75 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/public/views/cart.hbs                             | Handlebars |         18 |          0 |          0 |         18 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/public/views/fakeProds.hbs                        | Handlebars |         15 |          0 |          0 |         15 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/public/views/info.hbs                             | Handlebars |         10 |          0 |          0 |         10 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/public/views/inputForm.hbs                        | Handlebars |         47 |          0 |          1 |         48 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/public/views/layouts/main.hbs                     | Handlebars |         13 |          0 |          0 |         13 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/public/views/login.hbs                            | Handlebars |         11 |          0 |          0 |         11 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/public/views/loginError.hbs                       | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/public/views/logout.hbs                           | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/public/views/register.hbs                         | Handlebars |         21 |          8 |          0 |         29 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/public/views/registerError.hbs                    | Handlebars |          4 |          0 |          0 |          4 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/routes/router1.js                                 | JavaScript |         24 |          0 |         14 |         38 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/routes/routerChild.js                             | JavaScript |         14 |          0 |          4 |         18 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/serverAPIRandom.js                                | JavaScript |         51 |          0 |         16 |         67 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/services/services.js                              | JavaScript |         50 |          0 |         10 |         60 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 40/warn.log                                          | Log        |         76 |          0 |          1 |         77 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 42/.env                                              | Properties |          3 |          0 |          0 |          3 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 42/config/firestoreConfig.js                         | JavaScript |         14 |          0 |          5 |         19 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 42/config/mongoConfig.js                             | JavaScript |         26 |          0 |          5 |         31 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 42/controllers/controller.js                         | JavaScript |        116 |          0 |         23 |        139 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 42/desafioClase42.js                                 | JavaScript |        132 |          0 |         40 |        172 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 42/error.log                                         | Log        |         24 |          0 |          1 |         25 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 42/lib/log4js.js                                     | JavaScript |         28 |          0 |          5 |         33 |
| /Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 42/lib/pasport.lib.js                                | JavaScript |         51 |          0 |         14 |         65 |
